Price,Close,High,Low,Open,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
Date,,,,,
2014-02-24,5.011214256286621,5.035406219641024,4.84186985362424,4.876429754188989,20993900
2014-02-25,4.900623798370361,5.069968261547927,4.876431496780067,4.9939359257901,35828100
2014-02-26,4.734732627868652,4.924813203391378,4.727820780724755,4.9075330911455435,45181500
2014-02-27,4.852238178253174,4.872974383920295,4.717453665393905,4.776205863594806,23575900
2014-02-28,4.696717262268066,4.890253622019442,4.693261173446242,4.872973837091861,28318200
2014-03-05,4.593037128448486,4.745101418516436,4.589581039458336,4.734733481136772,15287200
2014-03-06,4.641421794891357,4.741646077309547,4.59994971212426,4.637965705596395,29223600
2014-03-07,4.603404998779297,4.7070853598381825,4.565389009213711,4.641421317935665,33482800
2014-03-10,4.496270179748535,4.620686451275129,4.4582538495889175,4.586126540646514,39540700
2014-03-11,4.530828952789307,4.55156515763279,4.478988935066792,4.513549166608998,37605100
2014-03-12,4.603404998779297,4.651789255164319,4.520460841768502,4.530828778997156,42963100
2014-03-13,4.503180503845215,4.6587008729430845,4.503180503845215,4.627597062796124,22769800
2014-03-14,4.416780471801758,4.534284858792123,4.413324712459698,4.520460832651538,34674800
2014-03-17,4.344204425811768,4.4789889332631425,4.337292577260587,4.451340879876829,39457400
2014-03-18,4.482444763183594,4.510092814971448,4.344204174653549,4.368396467161003,45126500
2014-03-19,4.610316753387451,4.675980789261378,4.468620415772069,4.475532263426336,51670900
2014-03-20,4.834957599639893,4.852237714445616,4.548108814473516,4.572300777447064,58253000
2014-03-21,4.8453264236450195,4.890254265880952,4.648333619544549,4.648333619544549,49269400
2014-03-24,4.9835662841796875,4.987022373169002,4.793485674447602,4.897166036991538,34293400
2014-03-25,5.004303455352783,5.045775874786864,4.883343275707808,4.928271455435669,40256700
2014-03-26,4.976655006408691,5.076879298092492,4.9593752175180175,5.028495361853252,29664700
2014-03-27,5.381007194519043,5.384463283447412,4.9490059661962995,4.973198259104104,77808100
2014-03-28,5.412110805511475,5.450127120817821,5.2531343558787285,5.381006667384736,42344400
2014-03-31,5.45358419418335,5.457040283606105,5.35681599748201,5.429392227405722,28288900
2014-04-01,5.463951110839844,5.4777751355204005,5.349902495236814,5.4328469729109035,36206100
2014-04-02,5.377552032470703,5.736977081173238,5.4259359644787954,5.429392053791036,66007000
2014-04-03,5.686844825744629,5.77916373754028,5.583447743140735,5.734850702138611,56189100
2014-04-04,5.701616287231445,5.801320888875423,5.668381772185515,5.768086021660764,33173500
2014-04-07,6.078277111053467,6.078277111053467,5.797627873152304,5.797627873152304,50400200
2014-04-08,5.90471887588501,6.303536638658222,5.805014611276098,6.203832021880528,69307600
2014-04-09,5.8530192375183105,5.886253750447296,5.694230594126542,5.875175579470968,41775400
2014-04-10,5.790242671966553,5.926874276704089,5.742236792161316,5.7828569894571045,27907900
2014-04-11,5.978572845458984,5.982265686402106,5.690537590932069,5.734850625743434,42898300
2014-04-14,5.882562160491943,6.041350828148477,5.845634448702921,6.011808799584763,26799700
2014-04-15,5.657302379608154,5.941644775742632,5.587140166837997,5.819783849447477,35870400
2014-04-16,5.827168941497803,5.827168941497803,5.627760129117077,5.757006731583829,28674000
2014-04-17,6.048734188079834,6.12997527313884,5.738542971184166,5.871482064139452,44689200
2014-04-22,5.893640041351318,6.155825795999337,5.849327000699804,6.022886321876051,44896500
2014-04-23,5.923182010650635,5.934259829835839,5.816091729610753,5.8973324745998585,22259300
2014-04-24,5.956418037414551,6.030273475347048,5.8604066020061945,5.982267933727284,30473600
2014-04-25,5.919490814208984,5.930568636472166,5.779165627949217,5.889948428775633,31426800
2014-04-28,6.115204811096191,6.118897652264214,5.8234774021967395,5.889946782377563,31782200
2014-04-29,6.163212776184082,6.31461578498851,6.096743025130892,6.159519933976945,42027100
2014-04-30,6.115204811096191,6.181674543445731,6.052427919914674,6.129976175768282,27166100
2014-05-02,6.53618049621582,6.5472583169897645,6.096742194185934,6.111512856663705,52627500
2014-05-05,6.488173961639404,6.562029383662777,6.392162194744022,6.517715989581252,35540000
2014-05-06,6.735588550567627,6.824214632298288,6.392162043650386,6.436475436684461,48256400
2014-05-07,6.861144065856934,6.960848696974842,6.672813330746774,6.6986625230356385,44239500
2014-05-08,6.602650165557861,6.942383887099883,6.554644627490421,6.868529158970159,53471600
2014-05-09,6.525103569030762,6.735590667332124,6.499254375111326,6.665428066452433,34395600
2014-05-12,6.658041477203369,6.683890664878466,6.562029705597625,6.628499447812182,20657400
2014-05-13,6.632193088531494,6.794674639182018,6.595266071675297,6.646964458744132,27465400
2014-05-14,6.75405216217041,6.772515663442789,6.591570674491256,6.632190518157975,23462900
2014-05-15,6.658041477203369,6.731896198512569,6.6211137643799995,6.709739852553563,20492100
2014-05-16,6.650656223297119,6.783595716311996,6.61372850808881,6.6469633813425295,26139800
2014-05-19,6.6248064041137695,6.6617341158112575,6.58049300920928,6.639577066190254,25935900
2014-05-20,6.388469219207764,6.787286940226066,6.314614503071034,6.610034776292929,54506300
2014-05-21,6.447553634643555,6.580493117201163,6.314614856423475,6.447553634643555,40672100
2014-05-22,6.52879524230957,6.562030115492855,6.403241433469957,6.466018337889763,32321300
2014-05-23,6.53618049621582,6.584186029690497,6.480788574995954,6.491867100107434,18155800
2014-05-26,6.595263481140137,6.613726982316008,6.539871568937678,6.573106434524185,7387500
2014-05-27,6.458632946014404,6.658042194130127,6.42909091344218,6.621114477330444,23285500
2014-05-28,6.53618049621582,6.569415367212726,6.373698982935121,6.480788574995954,22457200
2014-05-29,6.388469219207764,6.57310706605582,6.384777082087793,6.55464356310601,19559700
2014-05-30,6.163212776184082,6.3700070094202905,6.13736358507176,6.344157818307968,25975000
2014-06-02,6.111511707305908,6.229680506592414,6.048734818822022,6.20383061952707,26475500
2014-06-03,6.240760803222656,6.262917153738602,6.081972098460059,6.104129153313689,20600300
2014-06-04,6.129976749420166,6.251837702019098,6.100434721648834,6.222295674247766,20905900
2014-06-05,6.0265793800354,6.214910073703695,6.015501559685066,6.170596679289828,23391100
2014-06-06,6.52879524230957,6.52879524230957,6.318308181707154,6.418012096919426,55365700
2014-06-09,6.672812461853027,6.735589365381981,6.418012005842853,6.488174593160525,47362400
2014-06-10,6.894378185272217,6.894378185272217,6.576800819278678,6.661734775899974,35832900
