Date,high_acao,low_acao,open_acao,volume_acao,close_acao
2014-02-24,4.385501916384312,4.216944690405994,4.247044051519221,20993900.0,4.364432334899902
2014-02-25,4.415601247016512,4.2470437461079,4.3493821980468965,35828100.0,4.268113613128662
2014-02-26,4.289182754004022,4.117615535700332,4.274132932544592,45181500.0,4.123635292053223
2014-02-27,4.244032969851818,4.108584883135211,4.159754096550056,23575900.0,4.225973129272461
2014-02-28,4.259082811897094,4.087515605645496,4.2440332785463175,28318200.0,4.0905256271362305
2014-03-05,4.132665254565443,3.9972174294879337,4.123635476107337,15287200.0,4.000227451324463
2014-03-06,4.129655607254255,4.006247579857368,4.039356959606061,29223600.0,4.042366981506348
2014-03-07,4.099554989126482,3.976146991026458,4.042366021855039,33482800.0,4.009256362915039
2014-03-10,4.024307070962467,3.8828392015422732,3.994207713609149,39540700.0,3.9159488677978516
2014-03-11,3.964109061985554,3.90090002254643,3.9309996744894624,37605100.0,3.946049213409424
2014-03-12,4.051395798360758,3.937017576766452,3.9460473532721703,42963100.0,4.009256362915039
2014-03-13,4.057416773430246,3.9219689369201656,4.0303274357694345,22769800.0,3.921968936920166
2014-03-14,3.9490581867750763,3.8437100070678962,3.9370183866070705,34674800.0,3.846719741821289
2014-03-17,3.9008991966481372,3.7774911665024495,3.876819595012466,39457400.0,3.78351092338562
2014-03-18,3.9279885680614846,3.7835106804719145,3.8045805458389936,45126500.0,3.9039089679718018
2014-03-19,4.072466366947159,3.8918693574786487,3.897889114268521,51670900.0,4.01527738571167
2014-03-20,4.225974927947007,3.9610989713713636,3.9821685551388013,58253000.0,4.210925102233887
2014-03-21,4.259084110604042,4.048387421880268,4.048387421880268,49269400.0,4.219954967498779
2014-03-24,4.34336160300301,4.174804134618458,4.265102768144059,34293400.0,4.340351581573486
2014-03-25,4.3945309966137005,4.25306314127746,4.292192560287545,40256700.0,4.3584113121032715
2014-03-26,4.421620610458465,4.31928245467913,4.379481454270349,29664700.0,4.33433198928833
2014-03-27,4.689506756515015,4.310252609179544,4.331322475399173,77808100.0,4.686496734619141
