Date,Value_selic
2014-02-22,10.43
2014-02-23,10.43
2014-02-24,10.43
2014-02-25,10.43
2014-02-26,10.43
2014-02-27,10.43
2014-02-28,10.43
2014-03-01,10.65
2014-03-02,10.65
2014-03-03,10.65
2014-03-04,10.65
2014-03-05,10.65
2014-03-06,10.65
2014-03-07,10.65
2014-03-08,10.65
2014-03-09,10.65
2014-03-10,10.65
2014-03-11,10.65
2014-03-12,10.65
2014-03-13,10.65
2014-03-14,10.65
2014-03-15,10.65
2014-03-16,10.65
2014-03-17,10.65
2014-03-18,10.65
2014-03-19,10.65
2014-03-20,10.65
2014-03-21,10.65
2014-03-22,10.65
2014-03-23,10.65
2014-03-24,10.65
2014-03-25,10.65
2014-03-26,10.65
2014-03-27,10.65
2014-03-28,10.65
2014-03-29,10.65
2014-03-30,10.65
2014-03-31,10.65
2014-04-01,10.87
2014-04-02,10.87
2014-04-03,10.87
2014-04-04,10.87
2014-04-05,10.87
2014-04-06,10.87
2014-04-07,10.87
2014-04-08,10.87
2014-04-09,10.87
2014-04-10,10.87
2014-04-11,10.87
2014-04-12,10.87
2014-04-13,10.87
2014-04-14,10.87
2014-04-15,10.87
2014-04-16,10.87
2014-04-17,10.87
2014-04-18,10.87
2014-04-19,10.87
2014-04-20,10.87
2014-04-21,10.87
2014-04-22,10.87
2014-04-23,10.87
2014-04-24,10.87
2014-04-25,10.87
2014-04-26,10.87
2014-04-27,10.87
2014-04-28,10.87
2014-04-29,10.87
2014-04-30,10.87
2014-05-01,10.9
2014-05-02,10.9
2014-05-03,10.9
2014-05-04,10.9
2014-05-05,10.9
2014-05-06,10.9
2014-05-07,10.9
2014-05-08,10.9
2014-05-09,10.9
2014-05-10,10.9
2014-05-11,10.9
2014-05-12,10.9
2014-05-13,10.9
2014-05-14,10.9
2014-05-15,10.9
2014-05-16,10.9
2014-05-17,10.9
2014-05-18,10.9
2014-05-19,10.9
2014-05-20,10.9
2014-05-21,10.9
2014-05-22,10.9
2014-05-23,10.9
2014-05-24,10.9
2014-05-25,10.9
2014-05-26,10.9
2014-05-27,10.9
2014-05-28,10.9
2014-05-29,10.9
2014-05-30,10.9
2014-05-31,10.9
2014-06-01,10.9
2014-06-02,10.9
2014-06-03,10.9
2014-06-04,10.9
2014-06-05,10.9
2014-06-06,10.9
2014-06-07,10.9
2014-06-08,10.9
2014-06-09,10.9
2014-06-10,10.9
2014-06-11,10.9
2014-06-12,10.9
2014-06-13,10.9
2014-06-14,10.9
2014-06-15,10.9
2014-06-16,10.9
2014-06-17,10.9
2014-06-18,10.9
2014-06-19,10.9
2014-06-20,10.9
2014-06-21,10.9
2014-06-22,10.9
2014-06-23,10.9
2014-06-24,10.9
2014-06-25,10.9
2014-06-26,10.9
2014-06-27,10.9
2014-06-28,10.9
2014-06-29,10.9
2014-06-30,10.9
2014-07-01,10.9
2014-07-02,10.9
2014-07-03,10.9
2014-07-04,10.9
2014-07-05,10.9
2014-07-06,10.9
2014-07-07,10.9
2014-07-08,10.9
2014-07-09,10.9
2014-07-10,10.9
2014-07-11,10.9
2014-07-12,10.9
2014-07-13,10.9
2014-07-14,10.9
2014-07-15,10.9
2014-07-16,10.9
2014-07-17,10.9
2014-07-18,10.9
2014-07-19,10.9
2014-07-20,10.9
2014-07-21,10.9
2014-07-22,10.9
2014-07-23,10.9
2014-07-24,10.9
2014-07-25,10.9
2014-07-26,10.9
2014-07-27,10.9
2014-07-28,10.9
2014-07-29,10.9
2014-07-30,10.9
2014-07-31,10.9
2014-08-01,10.9
2014-08-02,10.9
2014-08-03,10.9
2014-08-04,10.9
2014-08-05,10.9
2014-08-06,10.9
2014-08-07,10.9
2014-08-08,10.9
2014-08-09,10.9
2014-08-10,10.9
2014-08-11,10.9
2014-08-12,10.9
2014-08-13,10.9
2014-08-14,10.9
2014-08-15,10.9
2014-08-16,10.9
2014-08-17,10.9
2014-08-18,10.9
2014-08-19,10.9
2014-08-20,10.9
2014-08-21,10.9
2014-08-22,10.9
2014-08-23,10.9
2014-08-24,10.9
2014-08-25,10.9
2014-08-26,10.9
2014-08-27,10.9
2014-08-28,10.9
2014-08-29,10.9
2014-08-30,10.9
2014-08-31,10.9
2014-09-01,10.9
2014-09-02,10.9
2014-09-03,10.9
2014-09-04,10.9
2014-09-05,10.9
2014-09-06,10.9
2014-09-07,10.9
2014-09-08,10.9
2014-09-09,10.9
2014-09-10,10.9
2014-09-11,10.9
2014-09-12,10.9
2014-09-13,10.9
2014-09-14,10.9
2014-09-15,10.9
2014-09-16,10.9
2014-09-17,10.9
2014-09-18,10.9
2014-09-19,10.9
2014-09-20,10.9
2014-09-21,10.9
2014-09-22,10.9
2014-09-23,10.9
2014-09-24,10.9
2014-09-25,10.9
2014-09-26,10.9
2014-09-27,10.9
2014-09-28,10.9
2014-09-29,10.9
2014-09-30,10.9
2014-10-01,10.92
2014-10-02,10.92
2014-10-03,10.92
2014-10-04,10.92
2014-10-05,10.92
2014-10-06,10.92
2014-10-07,10.92
2014-10-08,10.92
2014-10-09,10.92
2014-10-10,10.92
2014-10-11,10.92
2014-10-12,10.92
2014-10-13,10.92
2014-10-14,10.92
2014-10-15,10.92
2014-10-16,10.92
2014-10-17,10.92
2014-10-18,10.92
2014-10-19,10.92
2014-10-20,10.92
2014-10-21,10.92
2014-10-22,10.92
2014-10-23,10.92
2014-10-24,10.92
2014-10-25,10.92
2014-10-26,10.92
2014-10-27,10.92
2014-10-28,10.92
2014-10-29,10.92
2014-10-30,10.92
2014-10-31,10.92
2014-11-01,11.15
2014-11-02,11.15
2014-11-03,11.15
2014-11-04,11.15
2014-11-05,11.15
2014-11-06,11.15
2014-11-07,11.15
2014-11-08,11.15
2014-11-09,11.15
2014-11-10,11.15
2014-11-11,11.15
